Translation Key,Translated Value,Category
ammo-5.45x39-fmj,5.45x39 mm FMJ rounds,item_drop_locations
st_data_export_ammo_box_size,Box size,ammo
st_wpn_ak105_shakal,AK-105 "Shakal",weapons
st_af_fireball_descr,It is a spherical artefact made of red-coloured crystal, created in the Burner anomaly. \nIt has an unique property: it has a constant temperature of 75 degrees Fahrenheit/24 degrees Celsius, regardless of its surroundings. This allows it to absorb heat from its vicinity and to create a little pocket around the user which prevents the flames from damaging the body. \nA dangerous effect of this artefact is the fact that it will increase electrical conductivity, so the probability of electrocution while wearing this artefact is much higher, especially during storms and in the vicinity of electrical anomalies.It is quite heavy due to high density of crystal-like material. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_aps_bas_apsabigo,APS Stechkin,weapons
st_itm_artefact_container_name,Artefact Container,belt_attachments
st_cigar2,Cigarettes (Soviet),eatable
st_recipe_drug_2,Drug Recipe #2,disassemble
st_af_ball_descr,A spherical artefact formed in electrical anomalies under unknown conditions. Very bouncy. If a person equips it and then kicks a mutant of the Zone, the artefact will smite the mutant, using its potential energy to send it flying.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_chocolate_p,Chocolate (Half-consumed),item_drop_locations
st_prt_o_ballistic_11,Kevlar K119 Plates,item_drop_locations
st_prt_o_retardant_18,Insulating Constantan Inserts w/ Fiberglass Coating,item_drop_locations
st_helm_protective,SSP-99 Screen Helmet,outfits
st_wpn_mp9,Brugger & Thomet MP9,weapon_drops
mutant_chimera_cogot,Chimera Horn,mutant_parts
st_bolt_6,Rotating Locking Head [2 Locks] [¿] (Bolt),item_drop_locations
st_kit_hunt,Hunter's Kit,disassemble
ui_inv_outfit_shock_protection,%c[0,255,255,255]Electrical Res:,belt_attachments
st_wpn_ak74u_m1_isg,RD Quickhatch 7.62 "ISG",weapon_drops
st_wpn_mp155,MP-155,weapon_drops
st_wpn_m249,M249 SAW,weapon_drops
st_wpn_ithacam37_stakeout,Ithaca M37 Stakeout,weapon_drops
st_cocaine,Cocaine,item_drop_locations
st_prt_o_ballistic_19,Carbon-fiber Layers,item_drop_locations
mutant_snork_leg,Snork Tendons,mutant_parts
light_loner_outfit_name,Interceptor Body Armor,item_drop_locations
st_balon_gas,Gas Balloon,disassemble
st_wpn_akm_bas,AKM,weapons
ammo-9x19-fmj,9x19 mm FMJ rounds,item_drop_locations
isg_outfit_name,UNISG Mk1 Tactical Body Armor,outfit_exchange
st_af_monolith_name,Volat Emerald,artefact_recipes
st_af_kevlar_up_name,Improved Kevlar Plates and Attachments,disassemble
st_af_generator_descr,Generates weak electric currents and a small electromagnetic field. When its bearer is exerting energy, the Generator will capture some of that energy and disperse it to nearby batteries.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
BR1,BR1,session
st_drug_psy_blockade,Psy-block,item_drop_locations
st_meat_boar,Boar Chops,eatable
st_af_tlf_prometheus,Prometheus,artefacts
st_powder_poltergeist,'Diamond Powder',belt_attachments
ammo-5.56x45-ss190,5.56x45 mm HP rounds,item_drop_locations
renegade_scientific_outfit_name,Renegade SEVA Suit,outfit_exchange
st_binocular_name,Binoculars,disassemble
st_wpn_scar_siber_m1_black,FN SCAR-H "Tactical Black",weapons
st_hide_flesh_name,Flesh Hide,mutant_parts
ammo-12x70-buck_self,Home-made 12x70 shot shells,ammo
l03u_agr_underground,Agroprom Underground,item_drop_locations
st_barrel_9,5.56mm Barrel [¿] (Barrel),item_drop_locations
monolith_nbc_outfit_name,Tactical Monolith Suit,outfit_exchange
st_af_gold_fish_name,Goldfish,artefact_recipes
MDR_black,Desert Tech MDR 7.62x51,weapon_drops
mutant_dog_liver,Dog Liver,mutant_parts
st_detector1,Echo Detector,disassemble
ammo-50-bmg,.50 BMG rounds,ammo
st_prt_o_retardant_4,Grade-A RPVC Vinyl Fabrics,item_drop_locations
st_data_export_cuts_thick_skin,Cuts thick skin,melee
dolg_scout_outfit_name,PS5-R Scout Vest,outfit_exchange
st_water_drink,Sparkling Water,eatable
freedom,Freedom,weapon_drops
csky_heavy_outfit_name,CS-3b Body Armor,item_drop_locations
st_wpn_pl15_new,Lebedev PL-15 9x19 pistol,weapon_drops
st_data_export_single_handed,Single-handed,weapons
st_wpn_m16a2,M16A2,weapons
st_wpn_g43,Gewehr 43,weapons
st_af_plates_name,Carbon Steel Plates,disassemble
st_wpn_akms_alt,AKMS,weapon_drops
st_barrel_6,9mm Barrel-suppressor [AS/PP] (Barrel),item_drop_locations
ui_inv_radiation,%c[0,255,255,255]Radiation:,eatable
mutant_snork_mask,Snork Mask,mutant_parts
st_gas_tube_8,Ejector [V] (Gas Tube),item_drop_locations
st_prt_w_p_barrel_1,9x18mm Barrel (Barrel),item_drop_locations
l08_yantar,Yantar,item_drop_locations
st_wpn_g36new_k,G36K,weapon_drops
st_helm_bandana,Bandana,outfits
ui_inv_effect_time,%c[0,255,255,255]Duration:,medicine
ammo-9x19-pbp,9x19 mm HP rounds,item_drop_locations
#1,#1,session
st_af_gravi_descr,Gravi is formed from metallic substances exposed to prolonged gravitation. This makes it capable of sustaining an powerful anti-gravitational field, which causes it to have various properties, among others reducing weight of all objects in its close proximity. For a long time, the artefact was a mystery, and it was scientist Sakharov at Yantar who first discovered that Gravi creates a minute singularity field of anti-gravitational nature, the phenomenon which occurs in intervals of 30 minutes. \nA dangerous effect of this artefact is the fact that it will increase electrical conductivity, so the probability of electrocution while wearing this artefact is much higher, especially during storms and in the vicinity of electrical anomalies. \nAnother downside is that it will increase the negative effects of psy-waves and is a potent conductor. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_desert_eagle,Desert Eagle,weapon_drops
st_underwear,Old Underwear,disassemble
st_wpn_ks23_kaban_kab_up,KS-23M Drozd "Boar",weapons
st_wpn_ash12,ShAK-12,weapon_drops
st_bolt_carrier_8,Choke from Double-barrel Shotgun [R] (Carrier),item_drop_locations
ammo_9x21_sp10,9x21 mm SP10,item_drop_locations
st_wpn_svu_nimble,OTs-03A SVU-A,weapons
st_af_cocoon_descr,A lattice-like structure with a film covering the gaps, formed in gravitational anomalies. When equipped, it causes the skin to temporarily harden in response to physical trauma, impeding mobility but reducing harm.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_helm_tactic,Sphere-08 Helmet,outfits
st_wpn_usp_tac,USP Match "Overwatch",weapons
st_wpn_remington700,Remington 700,weapon_drops
ui_inv_ap_res,%c[pda_white]BR Class:,outfits
merc_scout_outfit_name,Mercenary LC-S Suit,outfit_exchange
st_af_compass_descr,A very rare artefact. It's been several years since one was found. \nIt can locate gaps in anomaly fields. It is believed that it can help one traverse the most complex anomaly fields completely unharmed. However, very few know how to handle it properly. \nThe Compass showed few unique properties under last experiments. It can interact to moving objects, causing some to completely disappear. Or perhaps teleport? \nIt also weakens the body by draining stamina and increasing bleeding rate constantly. But the biggest draw however, is the dangerous radiation output this artefact emits comparing to the artefact radiation scale. \nHolding this artefact near the body will cause death in matter of few minutes.,artefacts
st_prt_o_retardant_19,Insulating Fiberglass "Polyester" Fabrics,item_drop_locations
monolith_scientific_light_outfit_name,Monolith Patchwork Science Suit,outfit_exchange
st_breadold,Bread Loaf (Stale),eatable
st_wpn_aps,APS Stechkin,weapon_drops
st_data_export_weapon_kind_rifle,Rifle,weapon_drops
labx8,Laboratory X8 (Outskirts),item_drop_locations
st_itm_ammokit,Gunsmithing Tools,item_drop_locations
st_af_gold_fish_descr,Direct successor to and a superior version of Gravi artefact. As was the case with Gravi, it was scientist Sakharov at Yantar who discovered its unique properties after a massive blowout/emission hit the Zone. \nThanks to meticulous research that followed, it was established that this new artefact is produced when three Gravi artefacts interact and get sucked into one another's singularity fields. This phenomenon is extremely rare, due to which the artefact is highly valued. \nIt is rumoured within Ukrainian Spetsnaz circles that in the Zone there are agents from the Ministry of Defence of the Russian Federation whose sole objective is acquiring and transporting Goldfish to specialised laboratories located outside of the Zone. \nThe artefact creates a constant anti-gravitational singularity field which affects only its closest vicinity. However, some stalkers have been known to disappear for no apparent reason leaving only a Goldfish behind. \nBig downside, however, comes along with this powerful anti-gravitational field: the velocity of moving objects inside its radius will rapidly increase, causing dangerous impacts on surrounding objects, including the holder. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_bolt_17,Drummer with Mainspring [PP] [PPSh] (Bolt),item_drop_locations
st_data_export_first_aid_head,First-Aid head,medicine
army,Military,weapon_drops
mutant_chimera_meat,Chimera Meat,mutant_parts
st_wpn_1911_nsc,Colt 1911 Nightsword Custom (NSC),weapon_drops
st_wpn_ak74u,AKS-74UN,weapon_drops
st_prt_o_retardant_17,Insulating Constantan Inserts,disassemble
st_rank_master,Master,weapon_drops
st_wpn_pkp_siber,PKP Pecheneg,weapon_drops
st_data_export_thirst,Thirst,medicine
st_prt_i_transistors,Box of Transistors,disassemble
st_antibio_sulfad,Sulfadimethoxine,item_drop_locations
st_wpn_ak12_custom,AK-12 "Monolith",weapons
st_cigarettes_lucky,Cigarettes (Lucky Strike),eatable
redline_novice_outfit_name,Redline Leather Jacket,item_drop_locations
st_af_lobster_eyes_name,Lobster Eyes,artefact_recipes
st_antibio_chlor,Chlortetracycline,item_drop_locations
st_af_sandstone_descr,Formed in anomalies of extreme temperatures. Contains trace amounts of gold.\n \n %c[pda_white]PROPERTIES:\n,artefacts
st_wpn_vintorez_n1,VSS Vintorez,weapon_drops
st_prt_o_ballistic_8,Kevlar K119 Plates w/ Carbon-fiber Inserts,item_drop_locations
st_wpn_akm_alfa,AK Alfa,weapon_drops
st_wpn_streetsweeper,Armsel Protecta,weapon_drops
st_data_export_pelts_quality_min,Minimum pelts quality,melee
light_voen_outfit_name,Military Stalker IBAz Suit,item_drop_locations
dolg_outfit_name,PS5-M Universal Protection Suit,outfit_exchange
stalker_graphite_outfit_name,"Graphite" Stalker Suit,outfit_exchange
st_prt_w_p_spring_5,7.62mm Recoil Spring Assembly (Spring),item_drop_locations
st_af_glass_name,Firefly,artefact_recipes
st_wpn_ak74m,AK-74M,weapon_drops
st_data_export_exchange_reward,What you get in exchange >,outfit_exchange
st_wpn_ak103_camo,AK-103,weapons
st_itm_drugkit,Drug-making Kit,item_drop_locations
st_wpn_fn2000,FN F2000,weapons
stalker,Free Stalkers,weapon_drops
st_rank_experienced,Experienced,weapon_drops
st_coffee_drink,UCC Cold Brew Coffee,eatable
st_equ_smilpack_name,Travel Backpack,disassemble
st_flashlight_broken,Broken Flashlight,disassemble
isg_scientific_outfit_name,UNISG SEVA Suit,outfit_exchange
st_wpn_hs2000,HS2000,weapons
light_dolg_outfit_name,IBAz Universal Protection Suit,item_drop_locations
bandit_scientific_dark_outfit_name,Patchwork Anomaly Suit,outfit_exchange
st_data_export_has_perk,Has perk,artefacts
st_wpn_sig220_n,SIG P220,weapon_drops
ui_inv_outfit_telepatic_protection,%c[0,255,255,255]Psychic Res:,belt_attachments
st_wpn_korth,Korth Custom 4,weapons
st_data_export_weapon_degradation,W. Degradation,ammo
st_data_fragment_damage,Fragment damage,explosives
st_wpn_sr2_veresk_sr2_upkit,SR-2M Veresk "Tactical",weapons
dolg_heavy_proto_exo_outfit_name,PSZ-9d Exoskeleton,item_drop_locations
st_akvatab,Ibuprofen,medicine
st_morphine,Morphine Ampoule,disassemble
st_af_surge_name,Surge Suppressor,disassemble
st_letter_military_stalker_name,Military Stalker's Note,disassemble
k00_marsh,Great Swamps,item_drop_locations
stalker_outfit_name,"Sunrise" Stalker Suit,outfit_exchange
monolith_exo_outfit_name,Monolith Exoskeleton,outfit_exchange
ammo_23_eco,Ecolog-23 cartridge,ammo
monolith_trenchcoat_outfit_name,Monolith Overcoat,outfit_exchange
st_wpn_streetsweeper_aim,Armsel Protecta,weapons
st_antiemetic,Etperazine,item_drop_locations
st_af_elektron_descr,A room-temperature superconductor generated in electrical anomalies. When worn, an Electron will reroute excess electrical energy into nearby batteries, capacitors, and the like. It also allows this energy to be used physically by its user.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_wpn_glock_modern,Glock 19 "Hornet",weapon_drops
st_porn,Terroraiser Magazine,disassemble
ui_st_community,Faction,outfits
st_wpn_val_tac,AS Val,weapons
gamma_shock_cap,Electrical Cap,artefacts
ammo-12.7x55-fmj,12.7x55mm STs-130 rounds,item_drop_locations
st_bolt_3,Rotating Locking Head [2 Locks] [K] (Bolt),item_drop_locations
st_glue_e,Glue Tube "M17",disassemble
st_hide_boar_name,Boar Pelt,mutant_parts
st_data_export_restore_radiation,Radiation restoration,belt_attachments
specops_bandit_outfit_name,Deserter's B-5M Armored Suit,outfit_exchange
mutant_dog_meat,Dog Meat,mutant_parts
cs_scientific_outfit_name,CS-4a SEVA Suit,outfit_exchange
st_ration_ukr,Ukrainian Combat Ration,eatable
st_bolty,Bolt,weapon_drops
st_af_atom_descr,A beautiful artefact that consists of four small, multicolored spheres orbiting a larger translucent center. It gives off a slight amount of heat and can convert small doses of radiation in the body into usable energy.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
ammo-11.43x23-fmj,.45 ACP FMJ rounds,item_drop_locations
mutant_zombi_hand,Zombie Hand,mutant_parts
st_wpn_fort500,Fort-500,weapons
exo_merc_wood_outfit_name,Mercenary Woodland Exosuit,outfit_exchange
st_beer,Beer,item_drop_locations
l07_military,Army Warehouses,item_drop_locations
st_ecologist_outfit_white_name,SSP-99 "Diamond",item_drop_locations
l08u_brainlab,Laboratory X16 (Yantar),item_drop_locations
st_wpn_m60,M60,weapons
st_wpn_fnp45,FNP-45,weapon_drops
st_af_kogot_descr,A beautiful glass-like formation from electrical anomalies. Contrary to its delicate appearance, it imbues its user with a primal bloodlust, strengthening them in hand-to-hand combat. \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_wpn_ak5c_bas_5c_tik,AK 5C "ISG Special",weapons
st_af_ear_name,Heart,artefact_recipes
stalker_predator_outfit_name,"Predator" Stalker Suit,item_drop_locations
st_barrel_3,18.5mm Barrel [K] (Barrel),item_drop_locations
st_gamma_recipe_expert_4,The Art of Artefacts Fusion Vol. 3,disassemble
st_gas_tube_7,Gas Tube [P] (Gas Tube),item_drop_locations
ui_inv_outfit_radiation_protection,%c[0,255,255,255]Radiation Res:,belt_attachments
st_wpn_dvl10_m1,DVL-10 M1 Saboteur,weapon_drops
st_af_fire_descr,This artefact forms in areas of high thermal activity. Produces powerful infrared emissions which intensify metabolic processes, healing wounds before its bearer's very eyes. \nIts healing capabilities are even stronger than in case of the Eye as stalkers in possession of this artefact are said to have survived being wounded by chimeras. Thanks to that, it has earned the reputation of a miraculous artefact. \nMany stalkers owe it their lives, and most veteran mutant hunters carry it in case they run into danger. However, it shares not only positive but also negative properties of its cousin: entering a psy-field with this artefact on the belt is suicide. It will absorb psy energy and emitting it at a considerable rate. \nAlso, it is highly advised to proceed with caution when planning to bring the artefact to the market as prolonged exposure to even minimal amounts of radioactive materials can result in death of the user. \nIt can also be used as a reusable medkit of sorts since it heals wounds very quickly. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_toz34_obrez,TOZ-34 (Sawn-off),weapon_drops
trenchcoat_freedom_brown_outfit_name,Heavy Freedom Overcoat,outfit_exchange
st_rank_expert,Expert,weapon_drops
st_rank_rg6,RG6 squad,weapon_drops
st_cutlery,Field Cutlery,disassemble
st_sewing_kit_h,Sewing Kit (Heavy),item_drop_locations
st_data_export_restore_health_max,Total health restoration,medicine
nbc_merc_outfit_name,Load-bearing 'Twilight' Tactical Suit,outfit_exchange
st_wpn_scar_siber_m2_custom,FN SCAR-H "Specialist Operator",weapons
ammo-m209,M203 grenade,ammo
monolith,Monolith,weapon_drops
st_equ_smallpack_name,Camping Backpack,disassemble
st_wpn_ithacam37_extmag,Ithaca M37 Defense,weapon_drops
st_wpn_fn2000_custom,FN F2000,weapons
pripyat,Outskirts,item_drop_locations
st_prt_o_retardant_10,Polymer Sheets (Barium-sulfate Coating),item_drop_locations
st_mre,MRE,eatable
st_af_ah_r3,Mushroom,artefacts
st_af_oasis_heart_descr,This artefact was found at the centre of the legendary Oasis. It appears that the Heart is a crystallised plant, which has acquired the healing properties of the Oasis. \nNot only it dramatically increases recovery rate of wounds and healing process, but also provides the body with strong source of energy. It is a true miracle. \nThat being said, the Oasis is very sensitive to outer sources of energy and surrounding environment. For this reason, interacting with anomaly fields will bring death to the holder. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
ammo-12x76-zhekan,12x76 slug shells,item_drop_locations
st_wpn_remington700_archangel,Remington 700 "Archangel",weapons
st_hide_lurker_name,Lurker Hide,mutant_parts
st_prt_w_p_barrel_2,9x19mm Barrel (Barrel),item_drop_locations
st_wpn_ak74_pmc,AK-74 "PMC",weapon_drops
ecolog_proto_exo_outfit_name,SSP-99M Exoskeleton,item_drop_locations
army_outfit_name,Military Service Outfit,item_drop_locations
st_af_bracelet_descr,Bracelet is formed from common species of bryophytes plants under high exposure to radioactive and chemical anomalies, which explains its organic nature. \nIt provides substantial protection against all types of acids by gradually increasing their pH to the level of water (pH of 7). \nWhen worn, the artefact is also known to slightly counter the harmful effects of psy-anomalies or psy-waves of some mutants. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_bottle_metal,Vodka,item_drop_locations
st_gamma_recipe_advanced_3,Fundamentals of Guns and Armors Upgrades Vol. 2,disassemble
st_ecologist_outfit_blue_name,SSP-99M "Sapphire",item_drop_locations
st_cigar1,Cigarettes (Soviet),eatable
st_prt_i_paper,Paper Sheets,disassemble
st_wpn_ak101,AK-101,weapon_drops
ammo-5.7x28-ss195,5.7x28 mm SS195 rounds,item_drop_locations
zaton,Zaton,item_drop_locations
st_af_spaika_descr,A gravitational artefact that resembles a Meat Chunk and a Jellyfish fused together. If its bearer makes continues hits with a weapon, they will become increasingly more effective. If the user misses, however, it will shock their nervous system.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_data_export_disassemble_result,Result,disassemble
mutant_part_controller_brain_tissue,Controller Brain Tissue,mutant_parts
st_wpn_aks,AKS-47,weapons
st_af_night_star_name,Nightstar,artefact_recipes
st_wpn_thompson_m1a1,Thompson M1A1,weapon_drops
l10u_bunker,Laboratory X19 (Radar),item_drop_locations
ammo_338_federal,.338 Federal,ammo
gamma_chemical_burn_cap,Chemical Cap,artefacts
st_stim_impro,Improvised Stimpack,disassemble
ammo-5.45x39-ep,5.45x39 mm HP rounds,item_drop_locations
st_pda_name,PDA,disassemble
st_wpn_fnc,FN FNC,weapons
st_wpn_ak,AK-47,weapons
st_data_export_stash_ecos,Allowed Ecos,item_drop_locations
st_wpn_spas12_new,SPAS-12,weapon_drops
st_af_fire_loop_name,Knot,artefact_recipes
st_af_kogot_name,Claw,artefacts
st_prt_o_ballistic_9,Grade-B Polyethylene Plates w/ Expanded Carrier,disassemble
st_af_vyvert_name,Wrenched,artefact_recipes
st_af_sponge_name,Sponge,artefact_recipes
st_af_dummy_dummy_descr,Shell is composed of two disk of bluish colour connected by semitransparent material of unknown nature. \nThis strange artefact was considered devoid of any useful properties by many scientists for a long time. Only recently has it been discovered that it is indeed quite beneficial. \nWhen the artefact comes into contact with the body, it will make one feel rejuvenated and thus it increases stamina recovery. This effect has in case of some stalkers induced hyperactivity. One downside of this artefact, however, is that it reduces the number of platelets in blood, thus increasing bleeding rate. \nIt provides a considerable level of psy protection and absorbs electromagnetic interference, acting as a grounding material. \nIt will catch fire when exposed to open flame or even spontaneously combust. Caution must be taken when approaching heat sources with this artefact. \nShell is extremely light and very portable. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
helm_m50,M50z Gas Mask,outfits
mutant_lurker_meat,Lurker Meat,mutant_parts
l04u_labx18,Laboratory X18 (Dark Valley),item_drop_locations
st_wpn_mp5_nimble,MP5A3 "Frasier",weapon_drops
st_cigarettes_russian,Cigarettes (Russian),eatable
stalker_autumn_outfit_name,"Autumn" Stalker Suit,outfit_exchange
BR4,BR4,session
st_wpn_sks,SKS,weapons
st_af_freon_name,Freon Emission Module,disassemble
st_prt_w_p_spring_6,Recoil Spring Assembly (R1 DE 6") (Spring),item_drop_locations
st_wpn_mp153,MP-153,weapons
st_wpn_toz106,TOZ-106,weapon_drops
wastelander_outfit_name,"Wastelander" Stalker Suit,item_drop_locations
csky,Clear Sky,weapon_drops
st_prt_o_retardant_6,PVC/Carbon-fiber Fabrics,item_drop_locations
st_data_export_weapon_kind_explosive,Explosive,weapon_drops
freedom_exo_vineleaf_outfit_name,Hero of Freedom,outfit_exchange
greh,Sin,weapon_drops
st_wpn_saiga12s,Saiga-12,weapons
mutant_cat_claw,Cat Claw,mutant_parts
mutant_snork_hand,Snork Hand,mutant_parts
#4,#4,session
st_bread,Bread Loaf,eatable
st_wpn_akms_bas,AKMS,weapons
merc_exo_outfit_name,Mercenary Exoskeleton,outfit_exchange
st_prt_o_ballistic_13,Polyethylene Lightweight Armor Plates,disassemble
BR3,BR3,session
BR5,BR5,session
BR7,BR7,session
st_wpn_ak74_n,AK-74,weapons
~,~,session
BR2,BR2,session
st_af_generator_name,Generator,artefact_recipes
st_wpn_udp9,UDP-9 Carbine,weapon_drops
st_data_export_weapon_kind_unknown,Unknown,weapon_drops
st_wpn_ak74m_n,AK-74M,weapons
csky_novice_outfit_name,Clear Sky Leather Jacket,item_drop_locations
st_af_chelust_descr,A loop of tiny, glowing disks that generate a gravitational field disproportionately larger than their actual mass, leading to the artefact being effectively quite heavy. This artefact seems to be tied to a group of cultists in the Zone known as Sin, improving their health when they equip it.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_wpn_svd,SVD,weapon_drops
st_data_export_weapon_kind_pistol,Pistol,weapon_drops
st_data_export_weapon_kind_smg,SMG,weapon_drops
st_raisins,Raisins,eatable
csky_light_novice_outfit_name,CS-1 Body Armor,outfit_exchange
st_rank_legend,Legend,weapon_drops
st_rank_any,Any,weapon_drops
st_gamma_recipe_expert_2,Electronics Handbook Vol. 3,disassemble
st_af_gravi_name,Gravi,artefact_recipes
st_rank_professional,Professional,weapon_drops
ammo-7.92x33_fmj,7.92x57 mm FMJ rounds,item_drop_locations
st_rank_trainee,Trainee,weapon_drops
st_af_moh_name,Moss,artefacts
st_memoirs_1_of_2_name,A Stalker's Journal (Part 1 of 2),disassemble
st_rank_novice,Rookie,weapon_drops
st_wpn_howa20,Howa Type 20,weapon_drops
monolith_nosorog_outfit_name,Monolith Nosorog,outfit_exchange
dolg_nosorog_outfit_name,PSZ-10d Nosorog,outfit_exchange
st_itm_sleepbag_name,Sleeping Bag (Full),disassemble
st_ui_dbg_spawn_type,Item Type,weapon_drops
st_brewed_coffee,Brewed Coffee,eatable
st_mutant_part_crow_beak,Mutated Crow Beak,mutant_parts
dolg_red_outfit_name,PS5-M Hunter Suit,outfit_exchange
st_wpn_p90,FN P90,weapon_drops
st_prt_w_p_barrel_7,.357 Barrel (Barrel),item_drop_locations
l12_stancia_2,Chernobyl NPP (North),item_drop_locations
st_af_tlf_lost_soul,Lost Soul,artefacts
st_wpn_ak5c_bas,AK 5C,weapon_drops
st_prt_i_textolite,Textolite Base,disassemble
hunter_gar_trader_name,Butcher,mutant_parts
yan_st_sakharov_name,Professor Sakharov,mutant_parts
st_data_export_disassemble_item,Item,disassemble
st_ecologist_report_3_of_3_name,Walking Dead Findings Field Report 39B rev. 2 (part 3 of 3),disassemble
st_radio2,Radio (Broken),disassemble
st_stalker_letter_2_of_2_name,Memoir (Part 2 of 2),disassemble
st_stalker_letter_1_of_2_name,Memoir (Part 1 of 2),disassemble
gamma_burn_cap,Burn Cap,artefacts
st_meat_snork,Cooked Snork Hand,eatable
greh_armored_outfit_name,Irij Flak Armor,outfit_exchange
st_shovel_old,Old Metal Shovel,disassemble
nbc_outfit_name,Tactical Stalker Suit,outfit_exchange
st_af_serofim_name,Seraphim,artefacts
st_itm_mapkit_2,Anomaly Map (Yantar),disassemble
st_wpn_steyr_scout,Steyr Scout 5.56,weapons
st_meat_dog,Dog Chops,eatable
st_wpn_toz106_m1,TOZ-106,weapon_drops
st_recipe_drug_3,Drug Recipe #3,disassemble
st_wpn_sv98,SV98,weapon_drops
st_exolight_repair_kit,Armor Repair Kit (Heavy Armor),disassemble
ammo-5.45x39-ap,5.45x39 mm AP rounds,item_drop_locations
exo_dolg_red_outfit_name,PSZ-10d Venator Battlesuit,outfit_exchange
st_metalcan_powder,Powder Can,disassemble
st_recipe_drug_1,Drug Recipe #1,disassemble
dolg_exo_outfit_name,PSZ-10d Exoskeleton,outfit_exchange
st_pda_2_name,PDA v2.0 KilTrakô,disassemble
st_wpn_pb_bas,PB,weapons
st_monolithian_thoughts_name,Monolithian's Journal,disassemble
st_af_monolith_descr,The origins of artefacts such as this one are a mystery, as they are rarely found outside the northernmost parts of the Zone. \nThis unique artefact projects a non-contact field that inhibits nearbly anomalous phenomena. This grants the wearer a notable level of protection against most of the Zone's environmental hazards. It is also one of the few active artefacts that can be safely handled without lead containers. However, when you hold it your flesh feels dry and flaky, your bones hard and stiff, the ligaments in your joints squeaky and brittle. Thick armour or great supernatural vitality would be needed by anyone intending to wear this artefact into battle.,artefacts
st_data_export_first_aid_arm,First-Aid arm,medicine
st_wpn_car15,CAR-15,weapon_drops
st_monolith_prayer_3_of_3_name,Monolith Prayer (Part 3 of 3),disassemble
novice_outfit_tourist_name,Touristís Jacket,item_drop_locations
st_monolith_prayer_2_of_3_name,Monolith Prayer (Part 2 of 3),disassemble
st_af_fire_loop_descr,Created within a thermal anomaly. It has a bizarre tetrahedral appearance. Only rumors of disappearances, betrayal, and death surround this hellish artefact.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] ï %c[pda_white] Perk Artefact\n \n,artefacts
st_powder_mag,Large Rifle Propellant,disassemble
st_ecologist_outfit_grn_name,SSP-99M Bodysuit,outfit_exchange
st_meinkampf,Mein Kampf,disassemble
st_prt_o_fabrics_3,Durable Textiles,disassemble
exo_wood_outfit_name,Woodland Exosuit,outfit_exchange
st_cuban_cigar,Cuban Cigar,eatable
st_letter_military_log_name,Communication Log / MSRC Operation / 05.04.2014 18:36:21,disassemble
st_af_star_phantom_name,Phantom Star,artefacts
st_itms_campfire_name,Firewood,disassemble
st_af_ah_h1,Sponge,artefacts
st_wpn_bm16,TOZ-66 (Sawn-off),weapon_drops
st_itm_tent_name,Camping Tent (Full),disassemble
zombied,Zombified,weapon_drops
st_itm_mapkit_9,Anomaly Map (Agroprom),disassemble
st_itm_mapkit_7,Anomaly Map (Zaton),disassemble
svoboda_exo_outfit_name,Paragon of Freedom,outfit_exchange
st_itm_mapkit_6,Anomaly Map (Jupiter),disassemble
st_wpn_pm_bas_custom,Makarov PM Custom,weapons
st_af_electra_sparkler_descr,This artefact has the appearance of translucent spider webs. Just as proteinaceous spider silk, it is sticky and has properties of glue. \nIt can be found most commonly in or near electro anomalies and it seems to have absorbed their certain characteristics: it is able to smooth fluctuations in electric field density and acts as a weak resistor, protecting the wearer from electricity and reducing its damaging effects. \nOn the other hand, it should be noted that the presence of this artefact increases the corrosiveness of acids, leading to accelerated deterioration of equipment and higher damage to tissues of any living organism. \n\n%c[0,209,172,56] Does NOT degrade over time.\n,artefacts
st_wpn_remington700_mod_x_gen3,Remington 700 "MOD X Gen.3",weapons
st_detector8,Anomalous Measurement Device,disassemble
